
==================================================
epoch=1
новости                      ==> нооостт                     
размещения                   ==> размещение                  
наикрупнейших                ==> наикрупнй                   
хитрых                       ==> хитрый                      
возвращение                  ==> возвращение                 
мамонтов                     ==> мамонт                      
осваивал                     ==> осваивать                   
поддержанных                 ==> поддержанный                
очаровательном               ==> очаровательный              
подсказываешь                ==> подсказывать                
Владимировну                 ==> Владимироваа                
многих                       ==> многий                      
участковые                   ==> участковый                  
иностранном                  ==> иностранный                 
злоупотребляла               ==> злоупотреблять              
освященного                  ==> освященный                  
лимонад                      ==> лимонад                     
численных                    ==> численный                   
драматического               ==> драматический               
поражению                    ==> поражение                   
цивилизованную               ==> цивилизованный              
первейших                    ==> первый                      
гармониям                    ==> гармония                    
предпринятым                 ==> предпринятый                
свадьбы                      ==> свадьб                      
невыгодному                  ==> невыгодный                  
пономаревы                   ==> пономарев                   

==================================================
epoch=19
склонялись                   ==> склоняться                  
курсанте                     ==> курсант                     
трагического                 ==> трагический                 
выкупилось                   ==> выкупиться                  
наидешевейшее                ==> наидешев                    
учини                        ==> учинить                     
ближайших                    ==> ближейм                     
школьную                     ==> школьный                    
дверях                       ==> дверь                       
наслажденья                  ==> наслажденье                 
препятствуем                 ==> препятствовать              
взывало                      ==> взывать                     
шарахнулась                  ==> шарахнуться                 
мер                          ==> мер                         
кротким                      ==> кроткий                     
затопим                      ==> затопить                    
вышку                        ==> вышка                       
функция                      ==> функция                     
землетрясению                ==> землетрясение               
бесценнейший                 ==> бесценный                   
снизился                     ==> снизиться                   
халатности                   ==> халатность                  
строила                      ==> строиль                     
уличного                     ==> уличный                     
накалу                       ==> накал                       
сырейшим                     ==> сырыйй                      
красовалась                  ==> красоваться                 
придержало                   ==> придержать                  
вглядываюсь                  ==> вглядываться                
посвящалось                  ==> посвящаться                 
приспособятся                ==> приспособиться              
синяя                        ==> синяя                       
рухну                        ==> рухнуть                     
вентиляцией                  ==> вентиляция                  
засопите                     ==> засопить                    
необычайнейшую               ==> необычайный                 
свисает                      ==> свисать                     
переводилась                 ==> переводиться                
постояннейшей                ==> постоянный                  
радиосвязи                   ==> радиосвюзит                 
гимназии                     ==> гимназия                    
блондины                     ==> блондин                     
Анжелики                     ==> Анжелик                     
посты                        ==> поста                       
больнице                     ==> больница                    
осторожных                   ==> осторожный                  
унаследуешь                  ==> унаследовать                
разворачивайте               ==> разворачивать               
нефтяные                     ==> нефтяный                    
заседай                      ==> заседать                    
предвыборном                 ==> предвыборный                
вещало                       ==> вещать                      
прекратился                  ==> прекратиться                
погашено                     ==> погашенный                  
понятных                     ==> понятный                    
посаженный                   ==> посаженный                  
национальны                  ==> национальный                
документальным               ==> документальный              
декабрист                    ==> декабрист                   
жрицей                       ==> жрица                       
топливной                    ==> топливный                   
инициативные                 ==> инициативный                
желтых                       ==> желтый                      
обострениях                  ==> обострение                  
запутались                   ==> запутаться                  
заказных                     ==> заказный                    
простодушные                 ==> простодушный                
составным                    ==> составный                   
придворному                  ==> придворный                  
любимейший                   ==> любимый                     
накрытой                     ==> накрытый                    
арендных                     ==> арендный                    
траурное                     ==> траурный                    
отсрочки                     ==> отсрочка                    
недоверчивому                ==> недоверчивый                
редких                       ==> редкий                      
длиннейшим                   ==> длинный                     
Нюру                         ==> Нюр                         
прокрадешься                 ==> прокраятьсь                 
поэмы                        ==> поэм                        
полуфиналы                   ==> полуфинал                   
видимая                      ==> видимый                     
догорала                     ==> догорать                    
выявимся                     ==> выявиться                   
обретаю                      ==> обретать                    
искаженными                  ==> искаженный                  
отремонтированные            ==> отремонтированный           
запретнейшую                 ==> запретный                   
наглядные                    ==> наглядный                   
горьковским                  ==> горьковский                 
поверхность                  ==> поверхность                 
Васе                         ==> Васа                        
Ушаковыми                    ==> Ушаков                      
авиатором                    ==> авиатор                     
милосердия                   ==> милосердия                  
оную                         ==> оный                        
вилках                       ==> вилка                       
чиновничьей                  ==> чиновничий                  
профсоюзном                  ==> профсоюзный                 
достаточен                   ==> достаточный                 

==================================================
epoch=20
раздуйте                     ==> раздовать                   
отравим                      ==> отравить                    
торпедного                   ==> торпедный                   
отечеством                   ==> отечество                   
документам                   ==> документ                    
пользуюсь                    ==> пользоваться                
вскриком                     ==> вскрик                      
оздоровительным              ==> оздоровительный             
иллюзиях                     ==> иллюзия                     
наиопаснейшего               ==> наиопасный                  
условленной                  ==> условленный                 
воротите                     ==> воротить                    
дельта                       ==> дельт                       
списка                       ==> списка                      
голодовкою                   ==> голодовка                   
взрывное                     ==> взрывной                    
непреклонное                 ==> непреклонный                
ярко                         ==> ярко                        
влажнейшею                   ==> влажный                     
снимался                     ==> сниматься                   
международных                ==> международный               
прижатых                     ==> прижатый                    
неотразимой                  ==> неотразимый                 
выдвигайте                   ==> выдвигать                   
забытого                     ==> забытый                     
РЖД                          ==> РПМз                        
овальной                     ==> овальный                    
дует                         ==> довь                        
рекомендует                  ==> рекомендовать               
полевую                      ==> полевой                     
образовавшиеся               ==> образовавшийся              
выходца                      ==> выходец                     
интересуют                   ==> интересовать                
обезьянками                  ==> обезьянка                   
образованию                  ==> образование                 
горестную                    ==> горестный                   
бескрайнему                  ==> бескрайни                   
оказанные                    ==> оказанный                   
кушетка                      ==> кушетка                     
молчаливейших                ==> молчаливый                  
сестре                       ==> сестра                      
желудках                     ==> желудка                     
изменяюсь                    ==> изменяться                  
Мельниковым                  ==> Мельников                   
район                        ==> район                       
окошечко                     ==> окошечка                    
царствуете                   ==> царствовать                 
угадывай                     ==> угадывать                   
уважаемые                    ==> уважаемый                   
животнейшие                  ==> животный                    
системные                    ==> системный                   
восемнадцатую                ==> восемнадцат                 
награды                      ==> наград                      
затягивает                   ==> затягивать                  
бессильнейших                ==> бессильный                  
четырехлетний                ==> четырехлетний               
Лебедевых                    ==> Лебедев                     
искусственной                ==> искусственный               
дроздам                      ==> дрозда                      
производительности           ==> производительность          
подкрепления                 ==> подкрепление                
милостивейшей                ==> милостивый                  
коренной                     ==> коренный                    
детальнейшей                 ==> детальный                   
отважнейшее                  ==> отважный                    
телесен                      ==> телесннй                    
шестых                       ==> шестый                      
сломили                      ==> сломить                     
недалекие                    ==> недалекий                   
порозовели                   ==> порозоветь                  
спрячемся                    ==> спрятать я                  
требовательные               ==> требовательный              
старостою                    ==> старостый                   
отмененной                   ==> отмененный                  
бытовою                      ==> бытовой                     
вырастут                     ==> вырастуть                   
насущные                     ==> насущный                    
ложиться                     ==> ложиться                    
горшки                       ==> горшка                      
финансы                      ==> финанс                      
реформирование               ==> реформирование              
тыквы                        ==> тыква                       
арендатор                    ==> арендатор                   
оборванный                   ==> оборванный                  
штабу                        ==> штаб                        
боярском                     ==> боярский                    
проблеме                     ==> проблем                     
сведения                     ==> сведение                    
кушетках                     ==> кушетка                     
бензиновые                   ==> бензиновый                  
превращаешь                  ==> превращать                  
тягостнейшем                 ==> тягостный                   
досье                        ==> досия                       
оплатил                      ==> оплатить                    
наркотический                ==> наркотический               
выскочим                     ==> выскочить                   
Ушаковым                     ==> Ушаков                      
кровною                      ==> кровный                     
отскочили                    ==> отскочить                   
пустынные                    ==> пустынный                   
